naive_did,abadie_lasso_result,dmldid_lasso_result
8.512346415334179,3.8619255416618623,3.1198532158974683
9.39869779592176,6.471205710869364,1.8610793822041005
8.522121670272435,5.794754214721643,3.200065752001067
8.752809612328196,6.872400922958226,2.8692872943602734
8.440205559537425,6.086001472287104,2.914868722176136
9.173337709406233,6.176067618286759,3.085459314622947
8.603326342748638,5.401069777528064,4.53349801088102
10.276676574017522,6.397650705169075,2.7499048206743475
10.528047140185436,7.099105931569468,3.1788991414901764
10.948466179677594,7.607607768623754,2.5098497544282576
7.898622284415424,6.1256840947159015,2.954589502218229
8.239161605101408,5.898755889769308,2.7151760159599876
10.698292508732498,7.473912243624689,1.7060612797733083
9.265487580514819,6.6552549603092475,3.059969627569398
9.888353754225601,6.904526331188422,3.6559386657279767
10.4413257895546,7.202614249893081,3.1921611632709164
10.05814281106274,7.2550911236645,3.339971983434138
8.875898452721483,6.475010929665705,3.42011097488718
7.883313754651264,6.172058903322601,3.1043642401345455
8.320696072564179,6.507958677226693,2.8150840883141846
9.749917475491856,6.678443407930513,3.2366316976037854
9.55732878443071,4.554484712556149,3.298588705604055
9.870838804226043,6.527580210940213,2.9884719659889702
9.638839400414874,7.543795216064772,3.2464419015993453
10.507493819163948,6.9050944015184035,3.1772069233843414
9.452614797730584,6.6199781050935975,3.221837290688402
9.68193101541742,6.985381448163837,2.9221636110540024
11.012482493418522,7.072128252330618,3.271683761777447
7.925824168290034,5.72302765789249,3.1720144919947835
9.98772380555491,7.34541554951273,3.311763713677717
9.11864019965482,6.606605795585659,3.2347811630659904
9.883942221783247,6.318341300737162,3.1375183788801007
10.65038181267391,7.0954178609139635,3.2129935013063964
9.669790333884016,6.548484927110082,3.0410639480722184
9.473954399961322,7.159533226042243,2.126256250663999
10.740813960562367,6.309079484437665,3.3214374236531405
8.810798614560486,5.454908238553693,4.1791983354393585
11.114377614164745,7.393421665938414,3.224546873677388
9.986889792294065,7.061216137693367,1.9353972317190227
9.672834258969424,6.6042440399796165,3.1203148797859397
10.55427756122039,6.64409315505579,1.7219014307414733
9.894647522585547,6.608230212998666,3.0628931771714303
9.74317542290581,6.264129013252218,3.0309469903497055
