naive_did,abadie_lgbm_result,dmldid_lgbm_result
9.881237203335953,6.337573161333207,2.7020798523361163
9.36038505638848,6.243987826079064,2.312706889493131
9.465711364543537,6.0540359926402045,2.3747711057207894
9.201435942752454,5.93182940274945,2.3255412203604084
9.583480180457281,6.093393582827093,2.593938102115837
10.044012104066006,6.52500009526027,2.3950019643678173
10.048674828954447,6.445424370192917,2.2416554800312767
9.480309863987497,5.897317688460606,2.586526970017011
9.310723747594663,6.003382941385469,2.6215010328721897
9.597139659050036,6.370374873443864,2.2410482044685627
8.805885690622176,5.826757784136708,2.1770463501176427
9.340521135084817,5.91208211333471,2.758847585049942
9.289725397868896,6.016224359256733,2.505826989416325
9.379185469917896,6.089582829324725,2.6355868636263944
9.68670558058334,6.65926833576757,1.9765348459011491
8.877861885489986,5.991906606147891,2.4509624420624823
9.683493816024203,6.189925501045911,2.083155203899599
9.909944842240865,6.30429239589047,2.397956684849558
9.591978027605201,6.073061298262672,2.2597402502103523
9.443954363288329,6.3173359607447495,2.5922120721080453
9.36531425691513,6.045325719542667,2.6243633854049158
9.77081185145656,6.317944466240135,2.355112099226438
10.072988489189399,6.440557903915863,2.141697532412036
9.543002155250958,6.228192316170966,1.6170036681430067
9.606243605642591,6.328449969496092,2.224716457395928
9.31871620153395,6.0217444590169675,2.516549379935546
9.588408534393341,6.280319182695369,2.6762942039640762
9.391893866064034,6.272547757129726,1.5751808015884081
10.055195491522674,6.602214155353505,2.3846477795582617
9.55835793230629,6.511546419190764,2.375530092942056
9.540296075463942,6.101964766493284,2.718230102257209
9.751158845722802,6.3561287940340865,2.361469347401983
9.91103817357017,6.2643287345715155,2.3796323022009727
9.906446177716536,6.405409726013388,2.111789885634507
10.073620588383465,6.5165754117566514,2.2504464630053524
9.654538275839698,6.250247410704317,2.5420061830989615
9.375613577806904,6.215058491152467,2.3096507288485753
9.988455198805974,6.484375927467097,1.9233966648026954
9.496228720924673,6.228404025176064,2.3212580570274
9.6126672629978,6.187391086655098,2.633536645299693
9.784448602628407,6.265363307305436,2.5156173509474877
10.1713435893752,6.741497755471222,2.5681909125563074
9.163644653176231,6.0139488021096685,1.9869137991822563
10.013474603785799,6.597411561029507,2.0377080296614802
9.70632734404969,6.06088545251735,2.4562828951104683
9.4686665617089,6.283429181793521,2.3137805412496855
9.594445449054724,6.29108426616811,2.340275858995768
9.300198405546304,6.253193434969569,2.378230850729797
8.81717025671709,5.845052402933631,2.3922137722584473
9.628365480761204,6.086515807108286,2.1447653397810824
9.649550006989083,6.218642827073533,2.5208737564478794
9.285905066637511,5.962930128445683,1.9955447934384234
10.060767128429111,6.317935201700101,2.463941420581759
9.666444709968857,6.230978974067234,2.3423070223188174
9.498774591669878,6.246709416973862,2.2679579098360367
9.752744567435201,6.195913961791923,2.654606362002861
9.360092249100745,6.164313781161622,2.068750236514894
9.26294260482974,6.161429479079293,2.34899332206817
9.667700250397017,6.140211167246552,2.2905608811726843
9.53660147802166,6.210925327969437,2.4988124119277755
9.505272468235617,6.059465038943091,2.505896081985068
