original_bar,few_fixed_bar,abadie_semidid,modified_dmldid_without_separate,modified_dmldid_with_separate
7.333954515456972,6.844920896850929,4.327606699463745,1.9861086252594125,4.220909270430556
7.457827987110638,7.226370131885357,5.827066224058287,6.857190486245782,2.3302961605615127
2.173281206077628,1.667277689359791,1.3389068528721455,6.829171336840621,2.458439561292427
9.534092094100572,9.003265887329993,9.16670226936727,3.5411964338004713,4.541945259809502
5.254382417476087,5.124704444837702,4.148010724549877,6.787058625016726,2.632567634869438
6.704117173109831,6.823973984379869,7.810963366461512,7.916623280052188,2.7323857180238305
7.0383452184827835,7.4375352361075695,5.924478874330035,6.816839841899606,2.8209489426626795
9.736491506314344,10.652807848229457,6.898048920380841,8.515387863875011,3.0418936909317145
6.36936989449833,6.644277216508623,5.667366789435708,9.599398449204106,3.4312612768464827
11.713911707227634,12.07373616345544,9.617969793016156,-8.903428200278594,3.029678054247352
4.566942102984717,4.690277450423931,4.51658688222226,7.2428356695918765,2.8867051167763047
6.058820074896939,6.161188457759398,4.79402582915065,3.906394679091925,3.44474730457443
8.216086955525695,8.331021344319565,6.696083388008698,9.527316588737992,3.430773186092869
8.174246056352768,8.212896472662223,7.498055330902062,5.654728594222154,3.373737492234376
5.980088628793981,5.661381084994392,4.372473004564814,1.6780189117243842,2.862568414421356
10.691192060177269,11.186465103435392,8.536987303615271,8.966964076831594,3.138681790046239
8.784578982049128,9.251386495797707,7.445294201927915,8.212539793120472,3.1291079370977903
6.466786054436522,6.532981230100611,5.8623669931444855,7.078147940692247,3.0220276207154546
7.382687972787011,7.480778271912123,6.155316846769188,11.105673475475863,3.9374842324590125
7.80375225290531,7.98026792785304,7.214524998382701,5.8741989998470725,2.971758649341816
7.493425905623941,7.450232714263889,6.339838390991729,7.7995744503318996,2.9461756238169037
5.558238392076257,5.691787656854441,2.4198070553188193,8.555768380625162,2.7022803345574906
8.171355447487564,7.957190112070414,7.271095085027576,8.164493995086605,2.720879719407307
11.687573942073854,11.575494962955434,10.285302007896544,8.826016889902647,3.0051492457795983
6.006105542436423,5.895567031792709,4.639243464798885,4.0691287946382015,3.691957959314553
7.848440155680349,7.695518211621943,6.0947275016110245,0.8623684221697689,4.19786438328399
9.972753444462523,10.112791993175874,9.189541688765111,6.569754325202716,4.292763860728321
