abadie_linear,chang_linear,ours_separate_linear,chang_lgbm,ours_separate_lgbm,chang_zip,ours_separate_zip
-1.067756240902337,0.047493213490175656,-0.942778098138763,-0.06217611376450169,-0.9229845042018016,0.11950023274606188,-0.12345347431600243
-0.01794340695431321,0.06996946926576296,-0.9555556237223237,-0.04365033907894905,-0.945798803435973,0.2295374553500432,-0.260515624086864
-1.4225783767305502,0.015406088219679816,-0.961855991340429,-0.03713081299611369,-0.9408970730495876,0.2912076654320647,-0.46816015569233577
-0.5958935284927221,0.11721680146831509,-0.9326559397699896,-0.04335819071892659,-0.891369288265516,0.11448779284338888,-0.1355486877054713
-0.6693448480222818,0.03902913934661516,-0.9288652331357643,-0.046156564801549116,-0.9187580425240791,-0.02034570933809872,-0.26456964036959796
-1.027712165127774,-0.010184359382069718,-0.9250606902116164,-0.07123993272933626,-0.9187701022601297,0.11479803096082747,-0.41677747314400326
-1.4483579424228648,0.045357981849996454,-0.8911967806239276,-0.05331345452185232,-0.8824508952728666,-0.006271173917343303,-0.5314753058903355
-1.0695117351778594,0.05108953423044127,-0.9401084241095201,-0.05020336098092736,-0.9460702057693555,0.09456210535971597,-0.21321566597785538
-0.4298152922196145,0.013434894584665284,-0.9354263836719606,-0.04894853123345122,-0.902604551933603,0.15515874261752244,-0.1111852417706905
-1.6893196982344436,0.009002283408924113,-0.945785954498903,-0.03974090120453587,-0.9391474366373705,0.11884920139740053,-0.17959197905713675
0.0330153268859631,0.023962613004840465,-0.9313282060875924,-0.04891959649854263,-0.9318020719845104,0.20977587553241048,-0.26295683163643746
-1.0274295533335336,-0.010596282022563852,-0.9284796936697111,-0.10243966270407343,-0.9200227531505002,0.007829561030842728,-0.3105559117293417
-1.4555322699873312,0.057787746743353664,-0.9469476369780854,-0.05286761802065619,-0.9264557958894098,0.1345131105796527,-0.2877933759654692
-0.7107854036775767,0.04816898556665445,-0.9404709033331305,-0.037663636320887865,-0.9249857580081934,0.265105078391313,-0.21318111700202633
-0.4733894025517101,0.061564105159570885,-0.9581618361551465,-0.05081109894826942,-0.9546979127031818,0.09248022993740519,-0.2655706465872824
-1.1272257148253864,0.032699118008531806,-0.9350479009075724,-0.05395044461292047,-0.9177067465297419,0.21218348288339606,-0.30156538785785425
0.42007895302955894,0.059331081515390884,-0.9237300009658541,-0.035444952478693684,-0.875047766450306,0.08456373286239248,-0.19726959874401573
-2.453506089903175,0.028274317603874236,-0.9333309109849416,-0.025650403891684635,-0.9180881616647002,0.0650924990284384,-0.3888564408515558
-1.2749180886663716,0.04254624129985929,-0.9421327031256495,-0.039097037927912456,-0.9097920274175318,0.0047364300115848015,-0.39418260168027225
-0.9442492237229861,0.017607934146752838,-0.9084533802173692,-0.05030940843256405,-0.932915554732153,0.09047521101992922,-0.3627202009837273
-1.5099668467938459,0.04520225494932209,-0.94493945090089,-0.04873501811057244,-0.9268301347156594,0.1722588706264906,-0.3653656383426526
-1.770490978942807,0.010290447501064783,-0.9506710340806325,-0.04578526857510035,-0.9305523612451204,0.163158911389606,-0.30757846146433787
-1.7547521422108148,0.011208717418391512,-0.9499116558997828,-0.06229983221900054,-0.9160967297701885,0.20078642314389966,-0.30918264171133975
-0.8857765471574498,0.001458769700462087,-0.9882577087263471,-0.04397032551175128,-0.9821498434344137,0.019843756904216393,-0.2723143998489303
-1.7262040415451416,0.0213056876208033,-0.9567910871646126,-0.044592785010748696,-0.9600107440665707,0.2565951856543827,-0.332225539910075
-2.0681345122107966,0.028522286523221235,-0.935771164386909,-0.04943339352073956,-0.9270464104851366,0.07335008011441083,-0.27335579425920914
-1.3645633467468101,0.0581350224226523,-0.9743030651751002,-0.03921375234368686,-0.9430705605814624,0.18690150513857973,-0.3274855024259591
-0.8897137903046599,0.030824474794830626,-0.9381394753262565,-0.05360974687495679,-0.9214121958270649,0.3038038762440784,-0.18473952898811144
-0.6066338914099366,-0.018520456246049383,-0.9313705691180231,-0.06194953416226544,-0.9138598916976767,0.13667790508614935,-0.1984273948599656
-1.7862882555375197,0.10221080088985554,-0.9346092828884559,-0.027700532691891343,-0.9095039056232918,0.29504998917023467,-0.19691209456971662
-0.5184227714144115,-0.04968530601307342,-0.9358326967707903,-0.1384296182988324,-0.9210168367340328,0.07910594956529624,-0.2467024180704262
-0.5667061701133302,-0.04046910132766294,-0.9275796170954278,-0.07726232952013275,-0.9253488529100645,0.04386023070179185,-0.18472312279738445
-1.023107945874219,0.0414302334794383,-0.9326502539839935,-0.044266463261621994,-0.9406810583254467,0.22552319808586566,-0.39896242173345187
-1.1296433491496773,0.035131557041065915,-0.9380405084559221,-0.07198258278119317,-0.9161519123054133,-0.06705932073419003,-0.31069044946698454
-1.234268824998488,0.05298712320821767,-0.916502233530675,-0.06317504558124062,-0.9136707851948134,0.20015580460207996,-0.2609376567898626
-0.40741025446759677,0.0234432039654478,-0.9364929736513061,-0.08001945580138994,-0.8993187860765831,-0.04274083466990535,-0.28113654208652267
0.11416623494127594,0.01127887057894671,-0.9338454108452676,-0.07976761475415226,-0.9156877650340839,0.10209987813681223,-0.37382787940875467
-0.4238411949273597,0.032160297112062294,-0.9584215194701979,-0.04318289754151904,-0.9461650140410853,0.004178853101510994,-0.2811360983161947
-1.3957156945441966,0.03286717590241059,-0.9486462498113017,-0.04229922861439411,-0.9454462676546389,0.07920276203424893,-0.3171728225040767
-1.5693898251059473,0.02701960918320851,-0.9637335577083829,-0.08323835086862702,-0.9274026022339665,-0.11059652325158086,-0.3777345428347803
-2.0270835930780553,0.04599873943618888,-0.9075002504548129,-0.04354981454839518,-0.8886505044010439,0.1769826786480035,-0.32226648554998666
-0.36926944742875983,0.0377425388841894,-0.8926753539126886,-0.05959737733197785,-0.8931037126178647,0.14692108370431134,-0.25651826537768624
0.6520516982550735,0.005747701649104949,-0.9411663277910092,-0.039515136548755554,-0.921638828941782,0.17500281103638765,-0.3174426212324477
-1.1388067833835696,0.05207025623063719,-0.9460892188927974,-0.04191549796074013,-0.9271901598799127,0.11114190011169259,-0.38211938683757857
-0.19182324289548242,0.02200677294369882,-0.9279425760300168,-0.06516332487333222,-0.9015065397285607,0.12934647005752314,-0.3841366569184328
-0.7923399371153458,-0.013250234936818308,-0.9420927540565193,-0.05447500205165484,-0.9182919386930471,0.014850216376003963,-0.3111242199573597
-0.6564255643896275,0.6528796241806248,-0.6835162828822223,-0.037495319798505844,-0.7044634111904666,0.20609300144949289,-0.10634290555379187
-1.2711123332567942,0.010767898752345115,-0.9345661939010481,-0.030682086946722403,-0.9297182291471742,0.14157163366219855,-0.3523527485454152
-1.1804610833839322,0.013409391800284363,-0.9456198177949052,-0.07835109138596275,-0.9300395484817778,0.15317692059082705,-0.30264164079520167
-1.328511454829084,0.03969860026040374,-0.8875778663895124,-0.04301760879400039,-0.8947500652267545,0.24987592495990388,-0.2444090530559144
-0.18725998086628615,0.024523133986310387,-0.736429552667816,-0.04702916646393137,-0.7391000433530918,0.09134386518212302,-0.08161830206080287
-0.7055895335710409,0.01919787314760459,-0.9274024692767783,-0.052584331259028144,-0.8952213713792583,0.18975410484419797,-0.20909269928849533
-0.6729796496993495,0.014169576735860891,-0.9314511010910504,-0.03243051828871031,-0.9082553074753921,0.12762631908407515,-0.31807910958725516
-0.5295252780136692,0.05029298681537257,-0.94108669767738,-0.050182766830907624,-0.8988125530433033,0.19368601051750342,-0.01423634238622965
-1.2269250160201837,-0.005098558412398155,-0.879574285524553,-0.06473920942067753,-0.8953508824705791,0.1434356117651739,-0.3350353577127461
-0.9360531143839284,0.02123796462759857,-0.9516514692308202,-0.0737952727299276,-0.9299344225540426,-0.11282538624504111,-0.17648307004629665
-1.3104925316555585,0.03183769349905373,-0.9433215556470034,-0.042914917798316334,-0.9186726290218465,0.13929075749377376,-0.2255760291491908
-1.4835097321315076,-0.08598672373596296,29.098089897682378,-0.172288168668737,-1.5122270739952344,-0.020628853797287437,-0.18970773521830464
-1.0356686297644517,0.012743109816648005,-0.9458443370684635,-0.04316427831042706,-0.9166442534609689,0.2192267109798997,-0.3877593632509269
-1.0972736904658167,0.02352407237494855,-0.9419734839347914,-0.04511346060795997,-0.9296071458449577,0.25710780270378025,-0.17782518534883437
-1.5680622717767247,0.017787920127536636,-0.9417495929330455,-0.049590752891297926,-0.935153247187806,0.08074654721195904,-0.40391748911523806
-0.6316989701006954,0.04750653073007371,-0.9273306967948541,-0.0511561986624579,-0.9069303127053998,0.16577238590809337,-0.5241883676926982
-0.8096419354030191,0.019625762764443545,-0.9493346675710049,-0.045879553774778536,-0.9278615011621743,0.09498344828470574,-0.35470787157295064
-0.9476257502255699,0.0028036506816291927,86.4810795127333,-0.04696871612348709,-1.8513562045869405,0.39209661041662525,-0.27880192098621087
-0.9767740972428708,0.035895718015717525,-0.9532576658270507,-0.055678439266106626,-0.9258942147896787,0.20133870409996613,-0.349554417601111
-0.8455825147989325,0.054483264287477316,-0.9479762204561851,-0.02678483447053703,-0.9134464316604335,0.2681720626596769,-0.4152642415390408
-0.6516683863588825,0.0026493368753181487,-0.9526115901389676,-0.04714091303431945,-0.9356105960378368,0.024950128971413296,-0.4399326119665847
-1.161971446244177,0.02070882302555535,-0.8175554140228211,-0.052866630727974824,-0.7877659513176154,0.29556274395362747,-0.15786883007414032
-0.7512780003460476,0.02005675351860095,-0.9137244503544191,-0.06270931478033555,-0.9138385701113189,0.08463323867785805,-0.46575843579310217
-1.3490206991851907,0.025222162145582535,-0.932408890301782,-0.047498730475960475,-0.8977347529669272,0.12294844762303937,-0.2805723850507074
-0.87111082414138,0.02512491993847238,-0.9651848177086583,-0.04751190848414764,-0.9554962942057533,0.16710204786991145,-0.36508905336243735
