naive_did,abadie_lasso_result,dmldid_lasso_result
2.994106141933947,3.6678539591968784,2.9801355870794386
3.0226146337806834,3.075453376770227,3.02278472612351
3.0020563823279875,3.5689070882146985,2.9725802372694283
2.966953101513869,3.504125725372171,2.8455366895960212
3.02382424191646,3.571317029274083,3.071791653535578
2.9889388831187933,3.1245159846531796,3.1450019352346956
3.046831784892863,3.2304659434649703,3.045009215999727
3.0168465469562866,3.6012306994427057,3.011523545023633
3.0257153363905678,3.361582610105231,2.9933927541566696
3.0300965663867396,3.4935618517801985,3.1678030482672
3.006719490773525,3.554073966132594,2.9832988665880005
3.0229426839791422,3.1458258979248344,3.059697471752623
2.9786888460859227,3.43169102422645,3.2018360758860314
3.0095425382822887,3.1244518481556245,3.103261030036916
2.966339744873612,3.490752014012433,3.262085751955449
2.982613595362944,3.6159238438824275,2.803930765206891
2.9984664187280465,3.652246671152049,3.162281528293004
2.9883163375890764,3.391819795871679,2.8486985381011123
3.026424163918255,3.1878551595247924,3.067363985488163
3.0004883748986395,3.1905805184212386,2.9392744140700398
2.9901053792694583,3.6517313835769327,2.977697592289166
2.990989446260511,3.44145308771896,2.982576269586577
3.0015708234961274,3.091295675642891,2.974247798685461
3.0131700236828376,3.51639339301748,2.976272760386369
2.9897658393461564,3.550082185252248,3.021258619082138
2.978895904680506,3.525897783521086,2.9693299952045358
3.0090392176808156,3.472740199998887,2.9864000990973247
3.0009632895061493,3.5858343801915993,2.9942096851609925
2.9881870088866425,3.150702608773532,2.9956508178985146
3.026404664935056,3.13787284025674,3.0129380306228573
2.9832737974533083,3.0353413645533056,3.0240173198781815
2.9944954177456418,3.1383552138938997,3.0346606769851823
2.9963293057131852,3.084090706976143,3.0497758983181136
2.9923682462076058,3.517950390631123,3.007849459257484
2.9897065299187195,3.117445720462381,2.9084064027903915
2.974412624793972,3.545632491757475,2.930880143194427
2.990455689007188,3.131697269454183,3.023600399787002
2.9494124571425404,3.425650755370417,3.0703474508482964
2.980499592284134,3.1154049752193247,2.9720612545942653
2.980469795488141,3.546870100117763,2.9884973097633827
3.0072543236678113,3.141973307637104,3.0114632131992467
2.981356960870428,3.0505954381456424,3.002579377562949
2.9816987866812013,3.411538357766685,2.9702888070002036
3.032005220444984,3.5232448876987292,3.0105499058366822
2.9912451374816387,3.17508127708049,3.030402589595371
2.9881036838712607,3.581711253926644,3.0244701993961076
2.984404016380573,3.470754052855939,2.967945139056086
2.9837476216541354,3.0461221693640983,2.9943506001121203
2.9921654990106914,3.437658027778665,3.098469762612326
3.0197509161218075,3.0631345754223305,3.0423040280898554
2.986437346167161,3.148408523795076,3.0555409090065915
2.9603988158444077,3.463987887049319,2.875120421094125
2.989681950775886,3.0900577126087767,2.869457630174659
3.0148451074060727,3.614301832274797,3.0427015764650522
2.9893661139255974,3.4959693513275214,2.6502486462259283
3.0029032659175487,3.937277391717736,2.939210188850681
2.9808899557814863,3.6289588922944,2.9879777428414735
